ip,host,host_full,traffic_snd,traffic_rcv,packet_snd,packet_rcv,country,party,input_file,organization
224.0.0.251,224.0.0.251,224.0.0.251,438158,0,1561,0,224.0.0.251,Local,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,224.0.0.251
172.217.164.131,gstatic.com,play-music.gstatic.com,20615,634972,209,272,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.7.238,google.com,clients1.google.com,1185287,2957699,3221,4092,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.15.78,youtube.com,img.youtube.com,125774,1293624,446,622,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.13.234,googleapis.com,play.googleapis.com,44364,33251,178,185,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.7.206,youtube.com,img.youtube.com,169766,2933416,734,909,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.7.228,google.com,www.google.com,29587769,29643131,27157,35928,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.7.193,googleusercontent.com,lh3.googleusercontent.com,110362,12253609,1399,2219,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.9.202,googleapis.com,fonts.googleapis.com,50128,91992,282,322,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.164.170,googleapis.com,fcm.googleapis.com,68064,113655,184,228,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
192.168.110.254,192.168.110.254,192.168.110.254,52626,55362,383,391,192.168.110.254,Local,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,192.168.110.254
172.217.7.226,doubleclick.net,googleads.g.doubleclick.net,2810,4458,20,25,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,Google LLC
172.217.12.238,youtube.com,img.youtube.com,20365,322484,188,185,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.13.238,youtube.com,img.youtube.com,5592,40465,42,40,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
216.239.35.0,google.com,time.google.com,90,90,1,1,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,Google LLC
172.217.12.234,googleapis.com,fcm.googleapis.com,41318,62418,217,269,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.9.209,withgoogle.com,csp.withgoogle.com,28513,40207,144,136,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.253.122.188,google.com,mtalk.google.com,136228,242159,1432,1734,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
8.8.8.8,dns.google,dns.google,89742,112440,1074,1066,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,Level 3 Parent  LLC
172.217.9.206,youtube.com,img.youtube.com,1764,1764,18,18,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.13.225,googleusercontent.com,lh3.googleusercontent.com,200288,15912706,2504,4394,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.5.234,googleapis.com,home-devices.googleapis.com,6565,5872,13,14,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
255.255.255.255,255.255.255.255,255.255.255.255,2736,0,8,0,255.255.255.255,Local,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,255.255.255.255
8a:58:b7:98:cd:2c,8a:58:b7:98:cd:2c,8a:58:b7:98:cd:2c,10962,11340,261,270,XX,Physical,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
216.239.35.8,google.com,time.google.com,270,270,3,3,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,Google LLC
172.217.5.226,doubleclick.net,googleads.g.doubleclick.net,6035,13578,45,53,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,Google LLC
172.217.7.131,gstatic.com,connectivitycheck.gstatic.com,281760,273071,1930,1289,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.15.74,googleapis.com,fcm.googleapis.com,314900,184326,784,1100,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.164.138,googleapis.com,fcm.googleapis.com,39319,49822,186,202,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
130.211.135.74,dropcam.com,nexus-us1.dropcam.com,5440,5056,23,20,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.7.227,gstatic.com,www.gstatic.com,436952,12039344,3188,4717,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.7.174,youtube.com,img.youtube.com,8041,26625,54,43,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,Google LLC
172.217.15.67,gstatic.com,play-music.gstatic.com,20746,638044,209,278,SE,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,Google LLC
172.217.15.110,youtube.com,img.youtube.com,2034,938,12,10,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
18.215.238.150,nest.com,tunnel35.weave01.iad01.production.nest.com,8295,8088,45,37,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
33:33:00:00:00:16,33:33:00:00:00:16,33:33:00:00:00:16,2910,0,27,0,XX,Physical,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.7.234,googleapis.com,home-devices.googleapis.com,26208,107597,113,120,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.8.2,doubleclick.net,googleads.g.doubleclick.net,3824,8034,25,31,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.15.98,doubleclick.net,googleads.g.doubleclick.net,3946,8310,26,27,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,Google LLC
239.255.255.250,239.255.255.250,239.255.255.250,17304,0,32,0,239.255.255.250,Local,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,239.255.255.250
33:33:ff:78:53:3d,33:33:ff:78:53:3d,33:33:ff:78:53:3d,312,0,4,0,XX,Physical,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.7.170,googleapis.com,play.googleapis.com,62459,122527,203,246,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
35.168.53.179,nest.com,frontdoor.nest.com,1220,1264,9,6,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.15.106,googleapis.com,fcm.googleapis.com,559422,247414,1085,1662,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.7.142,google.com,play.google.com,58500,94968,317,351,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.164.174,gstatic.com,encrypted-tbn2.gstatic.com,14559,94212,123,138,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,Google LLC
33:33:00:00:00:02,33:33:00:00:00:02,33:33:00:00:00:02,1120,0,16,0,XX,Physical,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
35.225.109.224,dropcam.com,oculus1092-us1.dropcam.com,8907017,335882,6396,4934,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.5.230,doubleclick.net,static.doubleclick.net,9307,21687,66,65,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.164.130,doubleclick.net,googleads.g.doubleclick.net,6035,13647,45,58,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.7.138,googleapis.com,play.googleapis.com,35365,19854,104,132,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
00:e0:4c:29:48:4e,00:e0:4c:29:48:4e,00:e0:4c:29:48:4e,2800,0,24,0,XX,Physical,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.7.202,googleapis.com,fcm.googleapis.com,14370,9397,55,62,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.5.225,ggpht.com,yt3.ggpht.com,3340,67304,31,42,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.164.142,youtube.com,img.youtube.com,321277,774491,963,1215,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.15.118,ytimg.com,i.ytimg.com,10353,167542,101,88,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.8.10,googleapis.com,play.googleapis.com,61686,38103,178,214,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.8.8,google-analytics.com,ssl.google-analytics.com,4262,25144,31,36,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
172.217.13.74,googleapis.com,www.googleapis.com,18002,101727,115,117,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
216.239.35.12,google.com,time.google.com,360,360,4,4,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,Google LLC
224.0.0.22,224.0.0.22,224.0.0.22,1214,0,21,0,224.0.0.22,Local,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,224.0.0.22
ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,210,0,5,0,XX,Physical,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,N/A
216.239.35.4,google.com,time.google.com,540,540,6,6,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_13.49.15_192.168.110.16.pcap,Google LLC
172.217.13.74,googleapis.com,instantmessaging-pa.googleapis.com,36003,49568,377,395,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.164.162,doubleclick.net,googleads.g.doubleclick.net,2876,4356,21,26,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.13.225,googleusercontent.com,lh3.googleusercontent.com,205121,10881256,2440,3672,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
255.255.255.255,255.255.255.255,255.255.255.255,684,0,2,0,255.255.255.255,Local,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,255.255.255.255
172.217.7.129,googleusercontent.com,lh5.googleusercontent.com,4990,124136,54,43,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,Google LLC
172.217.13.226,doubleclick.net,googleads.g.doubleclick.net,3020,4526,23,26,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.9.202,googleapis.com,play.googleapis.com,124200,68573,299,439,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.9.194,doubleclick.net,googleads.g.doubleclick.net,3450,4630,22,26,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
192.229.163.76,bettycrocker.com,www.bettycrocker.com,3372,11708,25,23,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
151.101.0.155,delish.com,www.delish.com,2929,8526,27,24,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.12.246,ytimg.com,i.ytimg.com,23936,256242,221,187,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.13.66,doubleclick.net,googleads.g.doubleclick.net,3020,4578,23,27,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.7.164,gstatic.com,t1.gstatic.com,5557,121258,66,57,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.7.238,google.com,clients4.google.com,1711433,2351673,3932,4809,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.5.225,ggpht.com,yt3.ggpht.com,13700,295729,132,147,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
104.16.35.76,tasteofhome.com,www.tasteofhome.com,4046,7954,32,29,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.164.132,gstatic.com,t3.gstatic.com,2953,64754,35,30,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,Google LLC
172.217.7.142,google.com,play.google.com,28664,38522,165,178,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
8.8.8.8,dns.google,dns.google,92325,115193,1100,1100,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,Level 3 Parent  LLC
13.93.202.50,allrecipes.com,www.allrecipes.com,2495,7831,19,17,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.164.138,googleapis.com,home-devices.googleapis.com,24962,14263,84,87,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
74.125.155.187,googlevideo.com,r5---sn-p5qs7n7s.googlevideo.com,97224,10731158,882,2911,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.15.106,googleapis.com,home-devices.googleapis.com,216551,273827,515,804,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.7.225,googleusercontent.com,lh4.googleusercontent.com,5265,100679,58,33,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.7.138,googleapis.com,home-devices.googleapis.com,56820,63243,447,485,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.12.234,googleapis.com,fcm.googleapis.com,31329,16629,107,126,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
192.168.110.254,192.168.110.254,192.168.110.254,58742,59426,423,425,192.168.110.254,Local,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,192.168.110.254
172.217.7.228,google.com,www.google.com,20042889,13364679,18599,25737,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.164.142,youtube.com,img.youtube.com,2920,15974,26,20,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
8a:58:b7:98:cd:2c,8a:58:b7:98:cd:2c,8a:58:b7:98:cd:2c,11718,12012,279,286,XX,Physical,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.15.66,doubleclick.net,securepubads.g.doubleclick.net,2856,5280,18,19,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.5.230,doubleclick.net,static.doubleclick.net,3041,6578,22,24,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.8.14,youtube.com,www.youtube.com,9043,212043,96,93,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
216.239.35.12,google.com,time.google.com,360,360,4,4,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,Google LLC
216.239.35.4,google.com,time.google.com,630,630,7,7,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,Google LLC
34.238.125.167,nest.com,tunnel03.weave01.iad01.production.nest.com,94037,53316,316,440,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.15.74,googleapis.com,fcm.googleapis.com,258885,116541,513,774,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
151.101.2.49,thekitchn.com,www.thekitchn.com,4209,24217,37,33,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.13.68,gstatic.com,t2.gstatic.com,2887,52084,34,26,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.7.206,youtube.com,www.youtube.com,2151,7119,16,14,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.5.234,googleapis.com,fcm.googleapis.com,47464,33866,158,210,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.8.10,googleapis.com,play.googleapis.com,176240,94876,388,558,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
00:e0:4c:29:48:4e,00:e0:4c:29:48:4e,00:e0:4c:29:48:4e,2282,0,20,0,XX,Physical,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
18.215.238.150,amazonaws.com,amazonaws.com,4712,2580,16,22,US,Support party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.8.2,doubleclick.net,googleads.g.doubleclick.net,4528,11263,35,47,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.7.170,googleapis.com,home-devices.googleapis.com,7867,8484,26,17,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.9.206,youtube.com,www.youtube.com,1975,49259,21,17,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
224.0.0.22,224.0.0.22,224.0.0.22,286,0,5,0,224.0.0.22,Local,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,224.0.0.22
172.217.15.67,gstatic.com,play-music.gstatic.com,9620,317740,95,147,SE,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,Google LLC
172.217.7.174,youtube.com,www.youtube.com,2898,64011,35,27,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,Google LLC
172.217.164.170,googleapis.com,play.googleapis.com,101151,41093,207,285,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,168,0,4,0,XX,Physical,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.9.209,withgoogle.com,csp.withgoogle.com,7335,10895,40,37,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.12.238,youtube.com,www.youtube.com,139447,156171,530,598,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
172.217.7.131,gstatic.com,connectivitycheck.gstatic.com,261677,163917,1778,1204,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_17.33.55_192.168.110.16.pcap,N/A
